,course_level,course_rating,course_title,course_type,link,skills
46,beginner,4.6,project management  other tools for career development,['specialization'],httpswwwcourseraorgspecializationsprojectmanagementsuccess,project management risk management communication negotiation
47,beginner,4.5,excel to mysql analytic techniques for business,['specialization'],httpswwwcourseraorgspecializationsexcelmysql,binary classification data analysis tableau software sql
48,beginner,4.6,introduction to project management principles and practices,['specialization'],httpswwwcourseraorgspecializationsprojectmanagement,schedule project management risk management budget
49,beginner,4.7,ai foundations for everyone,['specialization'],httpswwwcourseraorgspecializationsaifoundationsforeveryone,data science deep learning artificial intelligence ai machine learning watson computer
50,beginner,4.6,java programming and software engineering fundamentals,['specialization'],httpswwwcourseraorgspecializationsjavaprogramming,html javascript cascading style sheets ccs java programming
51,beginner,4.6,data analysis and presentation skills the pwc approach,['specialization'],httpswwwcourseraorgspecializationspwcanalytics,data analysis microsoft excel data visualization dataviz presentation
52,beginner,4.7,graphic design,['specialization'],httpswwwcourseraorgspecializationsgraphicdesign,visual communication branding communication graphic design art history typography
53,beginner,4.8,foundations of positive psychology,['specialization'],httpswwwcourseraorgspecializationspositivepsychology,gratitude goal setting research methodology resilience
54,mixed,4.8,programming for everybody getting started with python,['course'],httpswwwcourseraorglearnpython,python syntax and semantics basic programming language computer programming python programming
55,beginner,4.8,ui  ux design,['specialization'],httpswwwcourseraorgspecializationsuiuxdesign,website wireframe strategy user interface design ui design user experience ux user research
56,intermediate,4.9,neural networks and deep learning,['course'],httpswwwcourseraorglearnneuralnetworksdeeplearning,artificial neural network backpropagation python programming deep learning
57,beginner,4.6,learn sql basics for data science,['specialization'],httpswwwcourseraorgspecializationslearnsqlbasicsdatascience,data analysis apache spark sql
58,intermediate,4.8,algorithms,['specialization'],httpswwwcourseraorgspecializationsalgorithms,algorithms dynamic programming greedy algorithm divide and conquer algorithms
59,beginner,4.8,ai for everyone,['course'],httpswwwcourseraorglearnaiforeveryone,workflow of machine learning projects ai terminology ai strategy workflow of data science projects
60,beginner,4.7,web design for everybody basics of web development  coding,['specialization'],httpswwwcourseraorgspecializationswebdesign,web development cascading style sheets ccs html5 javascript responsive web design
61,beginner,4.5,data visualization with tableau,['specialization'],httpswwwcourseraorgspecializationsdatavisualization,storyboarding map tableau software data visualization dataviz
62,intermediate,4.7,машинное обучение и анализ данных,['specialization'],httpswwwcourseraorgspecializationsmachinelearningdataanalysis,statistics python programming machine learning data visualization dataviz
63,beginner,4.7,isc² systems security certified practitioner sscp,['specialization'],httpswwwcourseraorgspecializationssscptraining,isc² systems security certified practitioner sscp
64,intermediate,4.7,reinforcement learning,['specialization'],httpswwwcourseraorgspecializationsreinforcementlearning,artificial intelligence ai machine learning reinforcement learning function approximation intelligent systems
65,advanced,4.5,advanced machine learning,['specialization'],httpswwwcourseraorgspecializationsaml,advanced machine learning
66,beginner,4.9,arizona state university tesol,"['professional', 'certificate']",httpswwwcourseraorgprofessionalcertificatesarizonastateuniversitytesol,efl english language tesol esl english language teaching
67,beginner,4.7,statistics with r,['specialization'],httpswwwcourseraorgspecializationsstatistics,bayesian statistics linear regression statistical inference r programming
68,intermediate,4.6,data structures and algorithms,['specialization'],httpswwwcourseraorgspecializationsdatastructuresalgorithms,debugging software testing algorithms data structure computer programming
69,beginner,4.7,what is data science,['course'],httpswwwcourseraorglearnwhatisdatascience,what is data science
70,beginner,4.6,search engine optimization seo,['specialization'],httpswwwcourseraorgspecializationsseo,search engine optimization seo
71,beginner,4.7,improve your english communication skills,['specialization'],httpswwwcourseraorgspecializationsimproveenglish,professional email writing presentation writing
72,intermediate,3.7,machine learning for trading,['specialization'],httpswwwcourseraorgspecializationsmachinelearningtrading,machine learning for trading
73,beginner,4.6,uci project management,"['professional', 'certificate']",httpswwwcourseraorgprofessionalcertificateappliedprojectmanagement,uci project management
74,beginner,4.8,financial markets,['course'],httpswwwcourseraorglearnfinancialmarketsglobal,behavioral finance financial markets finance behavioral economics
75,beginner,4.4,career success,['specialization'],httpswwwcourseraorgspecializationscareersuccess,project management information technology it management communication negotiation
76,beginner,4.8,geographic information systems gis,['specialization'],httpswwwcourseraorgspecializationsgis,geographic information system gis satellite imagery analysis model building spatial visualization
77,intermediate,4.7,functional programming in scala,['specialization'],httpswwwcourseraorgspecializationsscala,scala programming parallel computing apache spark functional programming
78,beginner,4.8,g suite administration,['specialization'],httpswwwcourseraorgspecializationsgsuiteadministration,g suite administration
79,beginner,4.7,human resource management hr for people managers,['specialization'],httpswwwcourseraorgspecializationshumanresourcemanagement,performance management interviewing human resources hr onboarding managing people
80,beginner,4.7,object oriented programming in java,['specialization'],httpswwwcourseraorgspecializationsobjectorientedprogramming,data structure hash table java programming objectoriented programming oop
81,beginner,4.7,fintech foundations  applications of financial technology,['specialization'],httpswwwcourseraorgspecializationswhartonfintech,investment management cryptocurrency regulation blockchain
82,intermediate,4.9,искусство разработки на современном c,['specialization'],httpswwwcourseraorgspecializationscplusplusmoderndevelopment,unit testing software development c17 algorithms
83,beginner,4.8,digital transformation,['course'],httpswwwcourseraorglearnbcguvadardendigitaltransformation,technology disruption digital trends competitive lifecycle digital strategy strategic management
84,intermediate,4.8,fullstack web development with react,['specialization'],httpswwwcourseraorgspecializationsfullstackreact,bootstrap frontend framework nodejs react javascript library redux
85,beginner,4.9,tesol certificate part 1 teach english now,['specialization'],httpswwwcourseraorgspecializationstesol,education online learning
86,beginner,4.7,methods and statistics in social sciences,['specialization'],httpswwwcourseraorgspecializationssocialscience,statistics statistical inference r programming qualitative research
87,beginner,4.7,agile development,['specialization'],httpswwwcourseraorgspecializationsagiledevelopment,product development persona user experience agile management agile testing design sprint
88,intermediate,4.8,accelerated computer science fundamentals,['specialization'],httpswwwcourseraorgspecializationscsfundamentals,runtime analysis algorithms hash table trees data structures objectoriented programming oop
